                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0551,                 3.8179,                 1.3644,                0.36214,                0.25778,                0.18931,                0.12277,                   1.03,                  2.677,                 1.4926,              0.0033258,              0.0033258,              0.0033258
                      2,                 1.1825,                  3.152,                 1.4542,                0.16562,                0.31904,                 0.1784,                0.11136,                 1.0459,                 2.5507,                 1.5413,              0.0066262,              0.0066262,              0.0066262
                      3,                 1.3105,                 3.1288,                 1.5366,                0.13247,                0.27238,                0.13418,                 0.0715,                 1.3212,                  2.867,                 1.8654,              0.0098936,              0.0098936,              0.0098936
                      4,                  1.387,                 3.2215,                  1.619,                0.20315,                0.21633,                 0.1398,                0.07764,                 1.3657,                 3.1885,                 1.8819,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.3663,                 3.0353,                 1.5973,                0.40137,                0.17684,                0.17462,                0.10676,                 1.2094,                 2.9559,                 1.7277,               0.009802,               0.009802,               0.009802
                      6,                 1.3247,                  2.842,                 1.5463,                0.26638,                0.35245,                0.22841,                0.14584,                 1.1224,                  2.694,                 1.6129,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.3062,                 2.7172,                 1.5422,                0.36219,                0.31407,                0.25826,                 0.1593,                 1.1455,                 2.5252,                 1.6561,               0.009703,               0.009703,               0.009703
                      8,                 1.3071,                 2.6314,                 1.5333,                0.37399,                0.32763,                0.30365,                0.19836,                 1.1427,                 2.3694,                 1.6076,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.2808,                 2.5363,                  1.525,                0.39109,                0.30819,                 0.2915,                0.18332,                 1.3355,                 2.4158,                 1.9421,               0.009604,               0.009604,               0.009604
                     10,                 1.2519,                 2.4842,                 1.5023,                0.39502,                0.40823,                0.36424,                0.23496,                  1.144,                 2.1715,                 1.5894,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.2537,                 2.4077,                 1.4941,                 0.3787,                0.43823,                0.35611,                0.22882,                 1.0718,                 2.2975,                 1.5517,               0.009505,               0.009505,               0.009505
                     12,                 1.2234,                 2.3208,                 1.4755,                0.41307,                0.42263,                0.37166,                0.23766,                 1.1093,                  2.194,                 1.5908,              0.0094555,              0.0094555,              0.0094555
                     13,                   1.21,                  2.321,                 1.4782,                0.42903,                0.39552,                0.37533,                0.24988,                 1.0947,                 1.9854,                 1.6387,               0.009406,               0.009406,               0.009406
                     14,                 1.2164,                 2.2575,                 1.4749,                0.44904,                0.47709,                0.45014,                0.30184,                 1.0463,                 1.8787,                 1.5237,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.1989,                 2.2369,                 1.4535,                0.51527,                0.43283,                0.44227,                 0.2978,                 1.0153,                 1.9304,                 1.4923,               0.009307,               0.009307,               0.009307
                     16,                 1.1849,                 2.1726,                 1.4532,                0.47457,                0.30983,                0.33036,                0.21653,                 1.1293,                 2.2694,                  1.659,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.1958,                 2.1457,                 1.4518,                0.47033,                0.45443,                0.43964,                0.29478,                 1.0351,                 1.9595,                 1.5143,               0.009208,               0.009208,               0.009208
                     18,                 1.1576,                 2.0907,                 1.4208,                0.52719,                0.47404,                0.50511,                0.34738,                  1.026,                 1.7775,                 1.4936,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.1806,                 2.0533,                 1.4338,                0.57037,                0.45109,                0.48616,                0.34915,                 0.9555,                 1.8649,                 1.4382,               0.009109,               0.009109,               0.009109
                     20,                 1.1488,                 2.0516,                 1.4311,                0.59092,                0.47031,                0.50381,                0.34692,                0.96868,                 1.6449,                 1.4242,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.1339,                 1.9952,                 1.4139,                0.53037,                0.47115,                0.50261,                0.35229,                0.97457,                 1.7333,                 1.4438,                0.00901,                0.00901,                0.00901
                     22,                 1.1437,                 1.9725,                 1.4081,                 0.5607,                0.51392,                 0.5613,                0.39304,                 0.9783,                 1.5282,                 1.4263,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.1389,                 1.9526,                 1.4036,                0.56328,                  0.508,                0.54193,                0.38509,                0.95822,                 1.6149,                 1.4261,               0.008911,               0.008911,               0.008911
                     24,                 1.1335,                 1.9285,                 1.4065,                0.51829,                0.51213,                0.52692,                0.36593,                0.96861,                 1.6687,                 1.4325,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.1315,                 1.9053,                 1.4001,                0.57182,                0.44756,                0.51402,                0.35862,                0.96176,                 1.7933,                 1.4253,               0.008812,               0.008812,               0.008812
                     26,                  1.128,                 1.8961,                  1.401,                0.58865,                0.49547,                0.54605,                0.38391,                0.96679,                  1.677,                 1.4315,              0.0087625,              0.0087625,              0.0087625
